Date,Location,Team,GF,GA,GF%,GA%,Sh%,Sv%,PP%,PK%,Class
43474,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43476,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43476,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43476,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43476,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43476,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43476,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43476,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43476,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43476,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43477,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43478,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43478,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43478,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43478,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43478,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43478,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43478,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43481,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43481,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43481,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Loss
43481,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43482,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43482,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43482,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43483,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43483,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43483,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43483,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43483,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43483,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43483,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43483,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43488,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43488,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43489,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43489,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43489,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43490,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43490,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43490,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43490,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43490,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43490,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43492,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Loss
43492,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43492,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43492,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43492,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43492,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43492,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43492,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43492,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43496,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43496,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43496,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43496,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43497,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43497,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43497,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43497,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43497,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43497,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43497,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43498,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Loss
43498,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43499,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43499,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43499,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43499,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43499,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43499,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43499,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43499,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43501,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43501,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43502,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43502,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43503,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43503,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43503,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43503,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43504,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43504,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43504,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43504,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43504,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43504,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43505,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43505,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43505,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43505,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43505,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43506,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43506,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43506,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43506,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43506,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43506,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43506,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43506,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43508,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43508,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43510,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43511,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43511,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43511,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43511,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43511,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43511,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43511,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43511,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43512,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43512,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43512,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43513,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43513,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43513,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43513,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43513,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43513,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43513,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43514,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43515,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43516,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43516,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43516,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43517,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43517,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43518,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43518,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43518,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43518,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43518,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43518,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43518,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43518,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43519,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43519,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43520,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43520,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43520,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43520,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43520,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43520,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43520,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43714,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43714,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43714,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43714,Away,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43714,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43714,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43714,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43714,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43714,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43715,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43715,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Win
43716,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43716,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43716,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Loss
43716,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43716,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43720,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43720,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Loss
43721,Home,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43721,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Win
43721,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43721,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43721,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43721,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43721,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Loss
43721,Away,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43721,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43721,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43721,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43723,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43723,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43723,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43723,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43723,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Win
43723,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43723,Away,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Win
43726,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43726,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Win
43727,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43727,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43728,Home,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43728,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Win
43728,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43728,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Loss
43728,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43728,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43728,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Win
43728,Away,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43728,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43730,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Win
43730,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43730,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43730,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43730,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Loss
43730,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43730,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Win
43730,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Loss
43730,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43730,Away,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43733,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Win
43734,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43734,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43735,Home,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43735,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Loss
43735,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43735,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Win
43735,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Loss
43735,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43735,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43736,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43736,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43736,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43736,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43736,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43736,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Win
43737,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43737,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43737,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43737,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43737,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43737,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43737,Away,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43741,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Win
43741,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Loss
43742,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43742,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43742,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Loss
43742,Away,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43742,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43742,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43742,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Win
43742,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43743,Home,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43743,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Win
43743,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43744,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Loss
43744,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43744,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43744,Away,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Loss
43744,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Win
43744,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43744,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43744,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43744,Away,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Win
43748,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43748,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43749,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43749,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43749,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Loss
43749,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43749,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43749,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Win
43749,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43749,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Loss
43749,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43749,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Win
43749,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43751,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Win
43751,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43751,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43751,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43751,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Loss
43751,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43751,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43751,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43751,Away,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43751,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Win
43751,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43755,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43755,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43756,Home,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43756,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43756,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43756,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Loss
43756,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43756,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Loss
43756,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Win
43756,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43756,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43756,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Win
43757,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43757,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43757,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43757,Away,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43757,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Win
43758,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43758,Away,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43758,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Loss
43762,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43762,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43763,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43763,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43763,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43763,Away,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43763,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43763,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43763,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43763,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43763,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43764,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43764,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43765,Home,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43765,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43765,Home,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43765,Away,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43765,Home,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Win
43765,Away,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43765,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43765,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43765,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Loss
43765,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43765,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43769,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43769,Away,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Loss
43770,Home,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Win
43770,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Loss
43770,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43770,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43770,Home,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43770,Away,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43770,Home,GAT,153,260,3.19,5.42,34.77,46.23,12.06,74.24,Loss
43770,Away,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Win
43770,Away,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
43772,Home,TER,246,161,5.13,3.35,40.65,31.13,26.37,82.08,Win
43772,Away,MTE,171,234,3.56,4.88,31.88,37.17,19.42,73.55,Loss
43772,Home,STJ,233,143,4.85,2.98,38.83,29.83,25.72,78.61,Win
43772,Away,WIS,158,281,3.29,5.85,31.54,44.31,18.6,73.5,Loss
43772,Home,GRA,212,251,4.42,5.23,33.56,39.31,24.65,75,Loss
43772,Home,CHA,185,254,3.85,5.29,35.35,36.4,18.41,77.08,Win
43772,Away,PRI,282,206,5.88,4.29,40.98,35.79,34.09,86.07,Loss
43772,Home,LON,274,117,5.71,2.44,41.35,25.96,29.35,84.41,Win
43772,Away,CDS,211,182,4.4,3.79,39.94,34.19,22.73,76.88,Loss
43776,Home,VAL,235,135,4.9,2.81,39.52,30.21,23.51,81.3,Win
