Date,Location,Team,GF,GA,GF%,GA%,Sh%,Sv%,PP%,PK%,Class
43373,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43373,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43373,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43376,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43376,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43377,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43377,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43378,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43378,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43378,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Win
43378,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43378,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43378,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43378,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Loss
43378,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43378,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43379,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43380,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43380,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43380,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43380,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43380,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43380,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43380,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43383,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43383,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43384,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43384,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43385,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43385,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43385,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Win
43385,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43385,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43385,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Loss
43385,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43385,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43385,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43387,Away,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Loss
43387,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43387,Away,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Loss
43387,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43387,Home,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43387,Away,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Loss
43387,Home,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43387,Away,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43387,Home,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43387,Away,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Win
43391,Home,VAL,172,185,3.58,3.85,33.73,34.6,19.84,80.43,Win
43391,Away,MTE,202,211,4.21,4.4,30.75,34.35,16.16,78.21,Loss
43392,Home,STJ,207,151,4.31,3.15,33.31,27.06,25.29,82.87,Win
43392,Away,CHA,200,207,4.17,4.31,34.15,33.9,16.75,76.35,Loss
43392,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Win
43392,Away,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Loss
43392,Home,LON,247,161,5.15,3.35,36.85,29.08,26.17,82.06,Win
43392,Home,TER,223,144,4.65,3,40.69,32.31,32.44,84.1,Win
43392,Home,GAT,162,236,3.38,4.92,31.4,39.08,13.99,71.84,Loss
43392,Away,GRA,234,136,4.88,2.83,41.5,31.29,23.61,83.41,Win
43393,Home,PRI,263,179,5.48,3.73,45.92,36.94,29.06,83.33,Win
43393,Away,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
43394,Home,CDS,189,198,3.94,4.13,34.27,34.27,21.24,79.65,Loss
